Voltage_V,Current_uA
-1.0000,-49.0988
-0.9968,-49.0988
-0.9936,-49.0988
-0.9904,-49.8988
-0.9872,-49.0988
-0.9840,-48.2988
-0.9808,-48.2988
-0.9776,-49.4988
-0.9744,-48.6987
-0.9712,-48.6987
-0.9679,-48.2988
-0.9647,-48.6987
-0.9615,-49.0988
-0.9583,-49.0988
-0.9551,-49.0988
-0.9519,-49.8988
-0.9487,-49.0988
-0.9455,-48.6987
-0.9423,-48.2988
-0.9391,-49.0988
-0.9359,-49.0988
-0.9327,-49.0988
-0.9295,-49.4988
-0.9263,-49.4988
-0.9231,-49.4988
-0.9199,-49.0988
-0.9167,-49.0988
-0.9135,-47.8988
-0.9103,-49.4988
-0.9071,-49.0988
-0.9038,-48.2988
-0.9006,-49.4988
-0.8974,-49.0988
-0.8942,-48.6987
-0.8910,-48.2988
-0.8878,-48.2988
-0.8846,-48.2988
-0.8814,-49.4988
-0.8782,-48.2988
-0.8750,-49.4988
-0.8718,-49.0988
-0.8686,-49.0988
-0.8654,-48.2988
-0.8622,-49.8988
-0.8590,-49.0988
-0.8558,-48.6987
-0.8526,-49.0988
-0.8494,-48.6987
-0.8462,-48.6987
-0.8429,-48.6987
-0.8397,-49.4988
-0.8365,-48.6987
-0.8333,-48.6987
-0.8301,-49.4988
-0.8269,-49.4988
-0.8237,-49.4988
-0.8205,-49.4988
-0.8173,-48.6987
-0.8141,-49.0988
-0.8109,-49.0988
-0.8077,-48.2988
-0.8045,-48.6987
-0.8013,-49.4988
-0.7981,-49.0988
-0.7949,-49.4988
-0.7917,-49.8988
-0.7885,-48.6987
-0.7853,-49.0988
-0.7821,-49.8988
-0.7788,-49.0988
-0.7756,-49.4988
-0.7724,-49.0988
-0.7692,-49.0988
-0.7660,-49.0988
-0.7628,-49.0988
-0.7596,-48.2988
-0.7564,-48.6987
-0.7532,-48.2988
-0.7500,-49.4988
-0.7468,-48.2988
-0.7436,-49.0988
-0.7404,-48.6987
-0.7372,-49.0988
-0.7340,-49.0988
-0.7308,-49.0988
-0.7276,-49.8988
-0.7244,-49.4988
-0.7212,-47.8988
-0.7179,-49.4988
-0.7147,-48.6987
-0.7115,-49.0988
-0.7083,-49.0988
-0.7051,-49.4988
-0.7019,-48.2988
-0.6987,-48.2988
-0.6955,-49.4988
-0.6923,-48.6987
-0.6891,-48.6987
-0.6859,-47.8988
-0.6827,-49.4988
-0.6795,-48.6987
-0.6763,-48.6987
-0.6731,-48.2988
-0.6699,-48.2988
-0.6667,-48.6987
-0.6635,-49.0988
-0.6603,-48.6987
-0.6571,-49.0988
-0.6538,-48.2988
-0.6506,-48.6987
-0.6474,-49.4988
-0.6442,-48.2988
-0.6410,-48.2988
-0.6378,-47.8988
-0.6346,-48.6987
